POSTAL_CODE,NAISSANCES_1990-1999
44490,23.0
48120,0.0
48120,1.0
48120,0.0
15380,0.0
15380,0.0
15380,1.0
15380,0.0
15380,1.0
51300,0.0
51300,0.0
51300,1.0
51300,2.0
51300,243.0
51300,0.0
51300,0.0
51300,3.0
51300,0.0
51300,0.0
51300,0.0
51300,1.0
51300,0.0
51300,0.0
51300,2.0
51300,0.0
51300,18.0
51300,10.0
51300,1.0
51300,12.0
51300,0.0
51300,0.0
51300,0.0
51300,1.0
51300,0.0
51300,0.0
51300,0.0
51300,2.0
51300,1.0
51300,2.0
51300,0.0
51300,0.0
51300,2.0
51300,0.0
51300,2.0
51300,2.0
51300,4.0
51300,0.0
51300,0.0
51300,1.0
51300,2.0
51300,0.0
51300,0.0
51300,1.0
51300,3.0
51300,1.0
35720,0.0
35720,0.0
35720,0.0
35720,2.0
35720,0.0
71250,0.0
71250,0.0
71250,0.0
71250,0.0
71250,20.0
71250,0.0
71250,0.0
71250,2.0
71250,0.0
71250,1.0
71250,0.0
71250,0.0
71250,0.0
71250,7.0
71250,1.0
71250,0.0
71250,0.0
71250,0.0
71250,2.0
71250,0.0
71250,0.0
71250,1.0
71250,1.0
71250,0.0
32400,1.0
32400,0.0
32400,6.0
32400,2.0
32400,0.0
32400,0.0
32400,0.0
32400,0.0
32400,0.0
32400,0.0
32400,0.0
32400,1.0
32400,0.0
32400,1.0
32400,4.0
32400,0.0
32400,1.0
32400,0.0
32400,2.0
32400,0.0
32400,2.0
32400,2.0
32400,0.0
32400,2.0
12160,0.0
12160,14.0
12160,2.0
12160,6.0
12160,0.0
12160,0.0
21400,1.0
21400,0.0
21400,0.0
21400,0.0
21400,1.0
21400,1.0
21400,1.0
21400,0.0
21400,1.0
21400,7.0
21400,1.0
21400,5.0
21400,0.0
21400,0.0
21400,0.0
21400,0.0
21400,1.0
21400,0.0
21400,17.0
21400,0.0
21400,0.0
21400,0.0
21400,0.0
21400,0.0
21400,1.0
21400,1.0
21400,0.0
21400,2.0
21400,0.0
88500,0.0
88500,0.0
88500,0.0
88500,5.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
88500,1.0
88500,0.0
88500,0.0
88500,1.0
88500,0.0
88500,0.0
88500,0.0
88500,1.0
88500,1.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
88500,5.0
88500,0.0
88500,0.0
88500,1.0
88500,0.0
88500,0.0
88500,5.0
88500,0.0
88500,2.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
88500,0.0
32190,0.0
32190,0.0
32190,0.0
32190,0.0
32190,0.0
32190,0.0
32190,0.0
32190,2.0
32190,0.0
32190,5.0
32190,0.0
32190,0.0
32190,1.0
32190,0.0
32190,0.0
32190,0.0
32190,0.0
32190,11.0
32190,0.0
32190,0.0
28210,0.0
28210,12.0
28210,12.0
28210,12.0
28210,0.0
28210,3.0
28210,3.0
28210,2.0
28210,7.0
28210,19.0
28210,3.0
28210,0.0
28210,1.0
28210,1.0
28210,1.0
28210,3.0
28210,0.0
28210,4.0
10600,175.0
10600,7.0
10600,0.0
10600,0.0
10600,2.0
10600,0.0
73130,3.0
73130,0.0
73130,4.0
73130,0.0
73130,0.0
73130,0.0
73130,2.0
73130,11.0
73130,37.0
73130,1.0
73130,1.0
62158,1.0
62158,1.0
62158,0.0
62158,0.0
62158,0.0
62158,0.0
62158,10.0
28200,0.0
28200,50.0
28200,0.0
28200,4.0
28200,2.0
28200,0.0
28200,0.0
28200,12.0
28200,0.0
28200,0.0
28200,0.0
28200,0.0
28200,2.0
28200,0.0
28200,2.0
28200,0.0
28200,0.0
04310,4.0
04310,2.0
88700,3.0
88700,0.0
88700,0.0
88700,5.0
88700,0.0
88700,1.0
88700,2.0
88700,0.0
88700,0.0
88700,1.0
88700,0.0
88700,6.0
88700,4.0
88700,3.0
88700,0.0
88700,4.0
88700,0.0
88700,1.0
88700,0.0
88700,0.0
88700,2.0
88700,0.0
88700,0.0
88700,0.0
88700,6.0
88700,2.0
88700,0.0
88700,3.0
88700,4.0
88700,5.0
88700,0.0
32700,0.0
32700,1.0
32700,1.0
32700,0.0
32700,1.0
32700,0.0
32700,0.0
32700,0.0
32700,1.0
32700,13.0
32700,1.0
05700,0.0
05700,0.0
05700,0.0
05700,0.0
05700,0.0
05700,0.0
05700,0.0
05700,1.0
05700,0.0
05700,0.0
05700,0.0
05700,0.0
05700,0.0
05700,1.0
05700,3.0
05700,0.0
05700,0.0
38390,0.0
38390,10.0
38390,13.0
38390,8.0
38390,2.0
38390,6.0
38390,13.0
59148,18.0
68500,0.0
68500,0.0
68500,4.0
68500,2.0
68500,0.0
68500,2.0
68500,3.0
68500,4.0
68500,16.0
68500,0.0
68500,20.0
68500,362.0
62270,0.0
62270,0.0
62270,0.0
62270,0.0
62270,1.0
62270,0.0
62270,1.0
62270,1.0
62270,1.0
62270,2.0
62270,0.0
62270,0.0
62270,1.0
62270,0.0
62270,73.0
62270,0.0
62270,4.0
62270,0.0
62270,0.0
62270,1.0
62270,1.0
